0	251354	251354
251522	252559	1037
252604	252903	299
253475	254889	1414
254972	255488	516
255571	257019	1448
257102	257893	791
258186	260938	2752
261025	263890	2865
264212	264258	46
264375	265804	1429
266501	252054	-14447
252254	252559	305
252604	254889	2285
254972	257019	2047
257102	257893	791
258186	260938	2752
261025	263890	2865
264212	264258	46
264375	265804	1429
266501	252107	-14394
252231	252559	328
252604	252903	299
253475	254889	1414
254972	257019	2047
257102	257893	791
258186	259746	1560
259865	260938	1073
261025	261320	295
261460	263085	1625
263306	263890	584
264375	265042	667
265206	380576	115370
380602	381211	609
381633	382928	1295
383240	383295	55
383509	383570	61
383761	384118	357
384266	384492	226
385568	386298	730
387389	390131	2742
390371	390434	63
390591	391715	1124
391984	392437	453
392803	392874	71
395611	380586	-15025
380607	381211	604
381633	382928	1295
383240	383295	55
383509	383570	61
383761	384118	357
384266	384492	226
385568	386298	730
387389	390131	2742
390371	390434	63
390591	391715	1124
391984	392437	453
392803	392874	71
395611	380601	-15010
380646	381211	565
381633	382928	1295
383240	383295	55
383509	383570	61
383761	384118	357
384266	384492	226
385568	386298	730
387389	390131	2742
390371	390434	63
390591	391715	1124
391984	392437	453
392803	392874	71
395611	380601	-15010
380911	381211	300
381633	382928	1295
383240	383295	55
383509	383570	61
383761	384118	357
384266	384492	226
385568	386298	730
387389	390131	2742
390371	390434	63
390591	391715	1124
391984	392437	453
392803	392874	71
395611	650317	254706
650606	652251	1645
652521	652652	131
652756	652832	76
653015	653072	57
653342	653953	611
654059	654115	56
654487	654545	58
654751	654801	50
654971	655034	63
655979	650317	-5662
650606	652251	1645
652521	652652	131
652756	652832	76
653015	653072	57
653342	653953	611
654059	654115	56
654487	654585	98
654751	654801	50
654971	655034	63
655979	745028	89049
745118	746293	1175
746656	747286	630
747310	748085	775
748250	748728	478
748872	751401	2529
751627	751687	60
752092	752184	92
752860	753841	981
754191	754544	353
754591	754903	312
755028	755102	74
755164	755338	174
755439	756139	700
756450	756529	79
756657	756773	116
756814	757443	629
757673	758360	687
758536	759577	1041
759615	763027	3412
763177	763412	235
763788	765790	2002
765918	765996	78
766698	767100	402
767456	767931	475
769646	771194	1548
772096	772801	705
773567	773649	82
773787	773962	175
774855	774911	56
777586	778145	559
778429	778489	60
778791	778844	53
788317	788386	69
789367	789428	61
789772	791177	1405
792222	793027	805
793086	794641	1555
794744	794809	65
794938	795001	63
795306	795539	233
796721	745028	-51693
745118	746293	1175
746656	747286	630
747310	748085	775
748250	748728	478
748872	749306	434
749441	749626	185
749829	749898	69
750202	751401	1199
751627	751687	60
752092	752184	92
752860	753841	981
754191	754544	353
754591	754903	312
755028	755102	74
755164	755338	174
755439	756139	700
756450	756529	79
756657	756773	116
756814	756963	149
757142	757443	301
757673	758360	687
758536	759577	1041
759615	760573	958
760608	763027	2419
763177	763412	235
763788	765790	2002
765918	765996	78
766698	767100	402
767456	767931	475
769646	771194	1548
772096	772801	705
773567	773649	82
773787	773962	175
774855	774911	56
777586	778145	559
778429	778489	60
778791	778844	53
788317	788386	69
789367	789428	61
789772	791177	1405
792222	793027	805
793086	794641	1555
794744	794809	65
794938	795001	63
795306	795539	233
796721	745028	-51693
745118	746293	1175
746656	747286	630
747310	748085	775
748250	748728	478
748872	749234	362
749441	749626	185
749829	749898	69
750202	751401	1199
751627	751687	60
752092	752184	92
752860	753841	981
754191	754544	353
754591	754903	312
