chr4	251355	251521	166
chr4	252560	252603	43
chr4	252904	253474	570
chr4	254890	254971	81
chr4	255489	255570	81
chr4	257020	257101	81
chr4	257894	258185	291
chr4	260939	261024	85
chr4	263891	264211	320
chr4	264259	264374	115
chr4	265805	266500	695
chr4	252055	252253	198
chr4	252560	252603	43
chr4	254890	254971	81
chr4	257020	257101	81
chr4	257894	258185	291
chr4	260939	261024	85
chr4	263891	264211	320
chr4	264259	264374	115
chr4	265805	266500	695
chr4	252108	252230	122
chr4	252560	252603	43
chr4	252904	253474	570
chr4	254890	254971	81
chr4	257020	257101	81
chr4	257894	258185	291
chr4	259747	259864	117
chr4	260939	261024	85
chr4	261321	261459	138
chr4	263086	263305	219
chr4	263891	264374	483
chr4	265043	265205	162
chr4	380577	380601	24
chr4	381212	381632	420
chr4	382929	383239	310
chr4	383296	383508	212
chr4	383571	383760	189
chr4	384119	384265	146
chr4	384493	385567	1074
chr4	386299	387388	1089
chr4	390132	390370	238
chr4	390435	390590	155
chr4	391716	391983	267
chr4	392438	392802	364
chr4	392875	395610	2735
chr4	380587	380606	19
chr4	381212	381632	420
chr4	382929	383239	310
chr4	383296	383508	212
chr4	383571	383760	189
chr4	384119	384265	146
chr4	384493	385567	1074
chr4	386299	387388	1089
chr4	390132	390370	238
chr4	390435	390590	155
chr4	391716	391983	267
chr4	392438	392802	364
chr4	392875	395610	2735
chr4	380602	380645	43
chr4	381212	381632	420
chr4	382929	383239	310
chr4	383296	383508	212
chr4	383571	383760	189
chr4	384119	384265	146
chr4	384493	385567	1074
chr4	386299	387388	1089
chr4	390132	390370	238
chr4	390435	390590	155
chr4	391716	391983	267
chr4	392438	392802	364
chr4	392875	395610	2735
chr4	380602	380910	308
chr4	381212	381632	420
chr4	382929	383239	310
chr4	383296	383508	212
chr4	383571	383760	189
chr4	384119	384265	146
chr4	384493	385567	1074
chr4	386299	387388	1089
chr4	390132	390370	238
chr4	390435	390590	155
chr4	391716	391983	267
chr4	392438	392802	364
chr4	392875	395610	2735
chr4	650318	650605	287
chr4	652252	652520	268
chr4	652653	652755	102
chr4	652833	653014	181
chr4	653073	653341	268
chr4	653954	654058	104
chr4	654116	654486	370
chr4	654546	654750	204
chr4	654802	654970	168
chr4	655035	655978	943
chr4	650318	650605	287
chr4	652252	652520	268
chr4	652653	652755	102
chr4	652833	653014	181
chr4	653073	653341	268
chr4	653954	654058	104
chr4	654116	654486	370
chr4	654586	654750	164
chr4	654802	654970	168
chr4	655035	655978	943
chr4	745029	745117	88
chr4	746294	746655	361
chr4	747287	747309	22
chr4	748086	748249	163
chr4	748729	748871	142
